2026-09-26T13:12:18.0187357Z ##[group]Run chmod +x scripts/verify-16kb-alignment.sh
2026-09-26T13:12:18.0188101Z [36;1mchmod +x scripts/verify-16kb-alignment.sh[0m
2026-09-26T13:12:18.0188973Z [36;1m./scripts/verify-16kb-alignment.sh[0m
2026-09-26T13:12:18.0276469Z shell: /usr/bin/bash -e {0}
2026-09-26T13:12:18.0276972Z env:
2026-09-26T13:12:18.0277532Z   JAVA_HOME: /opt/hostedtoolcache/Java_Temurin-Hotspot_jdk/17.0.20-1/x64
2026-09-26T13:12:18.0278434Z   JAVA_HOME_17_X64: /opt/hostedtoolcache/Java_Temurin-Hotspot_jdk/17.0.20-1/x64
2026-09-26T13:12:18.0279223Z   GRADLE_ACTION_ID: gradle/actions/setup-gradle
2026-09-26T13:12:18.0279844Z   GRADLE_USER_HOME: /home/runner/.gradle
2026-09-26T13:12:18.0280386Z   GRADLE_BUILD_ACTION_SETUP_COMPLETED: true
2026-09-26T13:12:18.0280949Z   GRADLE_BUILD_ACTION_CACHE_RESTORED: true
2026-09-26T13:12:18.0281745Z   DEVELOCITY_INJECTION_INIT_SCRIPT_NAME: gradle-actions.inject-develocity.init.gradle
2026-09-26T13:12:18.0282595Z   DEVELOCITY_INJECTION_CUSTOM_VALUE: gradle-actions
2026-09-26T13:12:18.0283231Z   GITHUB_DEPENDENCY_GRAPH_ENABLED: false
2026-09-26T13:12:18.0283801Z   ANDROID_HOME: /usr/local/lib/android/sdk
2026-09-26T13:12:18.0284400Z   ANDROID_SDK_ROOT: /usr/local/lib/android/sdk
2026-09-26T13:12:18.0285154Z   ANDROID_NDK_HOME: /usr/local/lib/android/sdk/ndk/28.2.13676358
2026-09-26T13:12:18.0286036Z ##[endgroup]
2026-09-26T13:12:18.0456484Z === Android 16 KB Page-Size ELF Alignment Verification ===
2026-09-26T13:12:18.1926761Z Found 140 compiled shared library binaries to inspect.
2026-09-26T13:12:18.1955657Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/cxx/Debug/1b1s4j3o/obj/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.1987402Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/cxx/Debug/1b1s4j3o/obj/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2009657Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2012962Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2027253Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2034962Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2038565Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2041671Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2044783Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2048148Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2050927Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/cxx/Debug/x1y693b5/obj/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2053491Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/cxx/Debug/x1y693b5/obj/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2056763Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2060996Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2064661Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2068235Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2071370Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2074490Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:12:18.2077975Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
