2026-09-26T13:18:03.0044794Z ##[group]Run chmod +x scripts/verify-16kb-alignment.sh
2026-09-26T13:18:03.0045316Z [36;1mchmod +x scripts/verify-16kb-alignment.sh[0m
2026-09-26T13:18:03.0045723Z [36;1m./scripts/verify-16kb-alignment.sh[0m
2026-09-26T13:18:03.0109112Z shell: /usr/bin/bash -e {0}
2026-09-26T13:18:03.0109451Z env:
2026-09-26T13:18:03.0109830Z   JAVA_HOME: /opt/hostedtoolcache/Java_Temurin-Hotspot_jdk/17.0.20-1/x64
2026-09-26T13:18:03.0110434Z   JAVA_HOME_17_X64: /opt/hostedtoolcache/Java_Temurin-Hotspot_jdk/17.0.20-1/x64
2026-09-26T13:18:03.0110944Z   GRADLE_ACTION_ID: gradle/actions/setup-gradle
2026-09-26T13:18:03.0111333Z   GRADLE_USER_HOME: /home/runner/.gradle
2026-09-26T13:18:03.0111699Z   GRADLE_BUILD_ACTION_SETUP_COMPLETED: true
2026-09-26T13:18:03.0112072Z   GRADLE_BUILD_ACTION_CACHE_RESTORED: true
2026-09-26T13:18:03.0112598Z   DEVELOCITY_INJECTION_INIT_SCRIPT_NAME: gradle-actions.inject-develocity.init.gradle
2026-09-26T13:18:03.0113169Z   DEVELOCITY_INJECTION_CUSTOM_VALUE: gradle-actions
2026-09-26T13:18:03.0113625Z   GITHUB_DEPENDENCY_GRAPH_ENABLED: false
2026-09-26T13:18:03.0113990Z   ANDROID_HOME: /usr/local/lib/android/sdk
2026-09-26T13:18:03.0114358Z   ANDROID_SDK_ROOT: /usr/local/lib/android/sdk
2026-09-26T13:18:03.0114801Z   ANDROID_NDK_HOME: /usr/local/lib/android/sdk/ndk/28.2.13676358
2026-09-26T13:18:03.0115217Z ##[endgroup]
2026-09-26T13:18:03.0236215Z === Android 16 KB Page-Size ELF Alignment Verification ===
2026-09-26T13:18:03.1207788Z Found 140 compiled shared library binaries to inspect.
2026-09-26T13:18:03.1210282Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/cxx/Debug/1b1s4j3o/obj/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1213055Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/cxx/Debug/1b1s4j3o/obj/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1216291Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1220251Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1223686Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1226977Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1230552Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1233750Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1236846Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1239864Z ✅ PASS: runtime/retropack-runtime-fbneo/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/x86_64/libretropack-runtime-fbneo.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1242423Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/cxx/Debug/x1y693b5/obj/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1244776Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/cxx/Debug/x1y693b5/obj/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1247756Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1251634Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_and_local_jars_jni/debug/copyDebugJniLibsProjectAndLocalJars/jni/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1254786Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1258027Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/library_jni/debug/copyDebugJniLibsProjectOnly/jni/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1261101Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1264082Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/merged_native_libs/debug/mergeDebugNativeLibs/out/lib/x86_64/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
2026-09-26T13:18:03.1267435Z ✅ PASS: runtime/retropack-runtime-fceumm/build/intermediates/stripped_native_libs/debug/stripDebugDebugSymbols/out/lib/arm64-v8a/libretropack-runtime-fceumm.so aligned to 0x4000 (>= 16 KB)
