doi	title	year	authors	venue	citations	abstract
10.1016/j.jss.2019.03.013	Energy-efficient low-latency audio on android	2019	Alessio Balsini; Tommaso Cucinotta; Luca Abeni; Joel Fernandes; Phil Burk; Patrick Bellasi; Morten Rasmussen	Journal of Systems and Software	8
10.1108/rmj-10-2016-0037	Metadata and video games emulation: an effective bond to achieve authentic preservation?	2017	Giovanni Carta	Records Management Journal	8	Purpose The aim of this paper is to rethink the concept of significant properties in relationship to video game emulation. Design/methodology/approach In this paper, video games are examined as complex digital objects, that is digital objects that are constituted by multiple layers that are interconnected with other objects. Starting from the assumption that metadata are fundamental to individuate the authenticity and accuracy of a complex digital object, the research is based on the analysis of the most recent frameworks that propose a substantial use of metadata to perform gaming emulation. Findings Technical metadata are being used within emulation frameworks to describe digital environments and objects. Although metadata cannot be considered a definitive solution for preserving significant properties of video games, they should be used in a more extensive way across frameworks. Originality/value This paper tries to provide insights on video game properties that can help to refine the debate on emulation.
10.1109/acsd.2018.00019	Ensuring Consistency between Cycle-Accurate and Instruction Set Simulators	2018	Fatma Jebali; Dumitru Potop-Butucaru	2018 18th International Conference on Application of Concurrency to System Design (ACSD)	0
10.1109/memcod.2014.6961858	Cycle-accurate 8080 emulation using an ARM11 processor with dynamic binary translation	2014	David Richie; James Ross	2014 Twelfth ACM/IEEE Conference on Formal Methods and Models for Codesign (MEMOCODE)	3
10.1145/3300061.3300122	Mobile Gaming on Personal Computers with Direct Android Emulation	2019	Qifan Yang; Zhenhua Li; Yunhao Liu; Hai Long; Yuanchao Huang; Jiaming He; Tianyin Xu; Ennan Zhai	The 25th Annual International Conference on Mobile Computing and Networking	20
10.1145/3306307.3328164	Architecture challenges in the Android 3D graphics stack	2019	Pau Baiget	ACM SIGGRAPH 2019 Talks	2
10.1145/3328778.3372606	Sparking Creativity with the Game Boy Advance	2020	Wouter Groeneveld; Kris Aerts	Proceedings of the 51st ACM Technical Symposium on Computer Science Education	1
10.1145/3411839	Battery-Free Game Boy	2020	Jasper de Winkel; Vito Kortbeek; Josiah Hester; Przemysław Pawełczak	Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies	87	We present ENGAGE, the first battery-free, personal mobile gaming device powered by energy harvested from the gamer actions and sunlight. Our design implements a power failure resilient Nintendo Game Boy emulator that can run off-the-shelf classic Game Boy games like Tetris or Super Mario Land. This emulator is capable of intermittent operation by tracking memory usage, avoiding the need for always checkpointing all volatile memory, and decouples the game loop from user interface mechanics allowing for restoration after power failure. We build custom hardware that harvests energy from gamer button presses and sunlight, and leverages a mixed volatility memory architecture for efficient intermittent emulation of game binaries. Beyond a fun toy, our design represents the first battery-free system design for continuous user attention despite frequent power failures caused by intermittent energy harvesting. We tackle key challenges in intermittent computing for interaction including seamless displays and dynamic incentive-based gameplay for energy harvesting. This work provides a reference implementation and framework for a future of battery-free mobile gaming in a more sustainable Internet of Things.
10.2139/ssrn.2018883	‘Emulation is the Most Sincere Form of Flattery: Retro Videogames, Rom Distribution and Copyright’	2012	Benjamin Farrand	SSRN Electronic Journal	4
10.2218/ijdc.v9i2.294	Video Game Preservation in the UK: A Survey of Records Management Practices	2014	Alasdair Bachell; Matthew Barr	International Journal of Digital Curation	17	Video games are a cultural phenomenon; a medium like no other that has become one of the largest entertainment sectors in the world. While the UK boasts an enviable games development heritage, it risks losing a major part of its cultural output through an inability to preserve the games that are created by the countryâ€™s independent games developers. The issues go deeper than bit rot and other problems that affect all digital media; loss of context, copyright and legal issues, and the throwaway culture of the â€˜nextâ€™ game all hinder the ability of fans and academics to preserve video games and make them accessible in the future. This study looked at the current attitudes towards preservation in the UKâ€™s independent (â€˜indieâ€™) video games industry by examining current record-keeping practices and analysing the views of games developers. The results show that there is an interest in preserving games, and possibly a desire to do so, but issues of piracy and cost prevent the industry from undertaking preservation work internally, and from allowing others to assume such responsibility. The recommendation made by this paper is not simply for preservation professionals and enthusiasts to collaborate with the industry, but to do so by advocating the commercial benefits that preservation may offer to the industry.
